method,switch_point,sway_coef,tag,output_wav,duration_s,peak_amp,wer,whisper_hyp,sim_A,sim_B,mcd_A
scheduled_cond,0.0,-1.0,sw0.00_sn1.0,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_C\audio\sw0.00_sn1.0.wav,12.256,0.9,0.0,"I don't really care what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",0.8925,0.7706,726.47
scheduled_cond,0.0,0.0,sw0.00_sp0.0,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_C\audio\sw0.00_sp0.0.wav,12.256,0.9,0.0,"I don't really care what you call me. I've been a silent spectator, watching species evolve. Empires rise and fall.",0.8057,0.7347,742.13
scheduled_cond,0.25,-1.0,sw0.25_sn1.0,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_C\audio\sw0.25_sn1.0.wav,12.256,0.9,70.0,"Some call me near. Other chair, I don't rather nature literally care me. I've a care what you could call me. I've been a silent spectator watching species evolve, empires rise and fall.",0.8397,0.8894,964.4
scheduled_cond,0.25,0.0,sw0.25_sp0.0,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_C\audio\sw0.25_sp0.0.wav,12.256,0.9,20.0,Don't really care what you call me. I've been a silent spectator. What species is evil? Empires rise and fall.,0.7523,0.8886,931.9
scheduled_cond,0.5,-1.0,sw0.50_sn1.0,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_C\audio\sw0.50_sn1.0.wav,12.256,0.9,75.0,"Some call me Nier. Other chair, I don't rather nature know they would care me. I forget what you could call me. I've been a silent spectator, watching species evolve, empires rise and fall.",0.836,0.8905,946.75
scheduled_cond,0.5,0.0,sw0.50_sp0.0,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_C\audio\sw0.50_sp0.0.wav,12.256,0.9,20.0,Don't really care what you call me. I've been a silent spectator. What species is evil? Empires rise and fall.,0.7583,0.8961,911.55
scheduled_cond,0.75,-1.0,sw0.75_sn1.0,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_C\audio\sw0.75_sn1.0.wav,12.256,0.9,70.0,"Some call me near. Other chair, I don't rather nature'll know they'll care me. I forget what you could call me. I've been a silent spectator, watching species evolve, empires rise and fall.",0.8321,0.8914,937.93
scheduled_cond,0.75,0.0,sw0.75_sp0.0,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_C\audio\sw0.75_sp0.0.wav,12.256,0.9,20.0,Don't really care what you call me. I've been a silent spectator. What species is evil? Empires rise and fall.,0.7567,0.8966,898.35
scheduled_cond,1.0,-1.0,sw1.00_sn1.0,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_C\audio\sw1.00_sn1.0.wav,12.256,0.9,75.0,"Some call me near. Other chair, I don't rather nature know they would care me. I forget what you could call me. I've been a silent spectator, watching species evolve, empires rise and fall.",0.8304,0.8943,953.81
scheduled_cond,1.0,0.0,sw1.00_sp0.0,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_C\audio\sw1.00_sp0.0.wav,12.256,0.9,20.0,Don't really care what you call me. I've been a silent spectator. What species is evil? Empires rise and fall.,0.7532,0.8998,914.52
